results.bathrooms,results.bedrooms,results.city,results.country,results.currency,results.daysOnZillow,results.homeStatus,results.homeStatusForHDP,results.homeType,results.imgSrc,results.isFeatured,results.isNonOwnerOccupied,results.isPreforeclosureAuction,results.isPremierBuilder,results.isShowcaseListing,results.isUnmappable,results.isZillowOwned,results.latitude,results.listing_sub_type.is_FSBA,results.livingArea,results.longitude,results.lotAreaUnit,results.lotAreaValue,results.price,results.priceForHDP,results.rentZestimate,results.shouldHighlight,results.state,results.streetAddress,results.taxAssessedValue,results.zestimate,results.zipcode,results.zpid,results.unit,results.listing_sub_type.is_newHome,results.newConstructionType,results.listing_sub_type.is_openHouse,results.openHouse,results.open_house_info.open_house_showing.open_house_end,results.open_house_info.open_house_showing.open_house_start,results.datePriceChanged,results.priceChange,results.priceReduction,resultsPerPage,totalPages,totalResultCount
0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/a2bb74f1d632aec4d1732ca79edde595-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.851522,TRUE,,-95.32183,acres,2,675000,675000,,FALSE,TX,9800 Hirsch Rd,,,77016,2054475277,,,,,,,,,,,,,
2,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.948596954345703,-95.48762512207031&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=TiAcuRVy-jKMfttm1QWHLlFbUK4=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.948597,TRUE,1233,-95.487625,sqft,2831.4,212990,212990,1595,FALSE,TX,11525 Teaside Dr,159250,211800,77066,28475651,,,,,,,,,,,,,
0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.844467163085938,-95.31865692138672&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=wMKbohxlJPLlwgOjsvfMk2MDFrY=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.844467,TRUE,,-95.31866,sqft,8698.932,75000,75000,1300,FALSE,TX,9116 Lockwood Dr,85033,103400,77016,27916125,,,,,,,,,,,,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/556240e7e19169ceb3550807c78087b2-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.596745,TRUE,1766,-95.35656,sqft,5649.732,234999,234999,1945,FALSE,TX,4115 Geronimo Lake Dr,247615,234100,77047,28482809,,,,,,,,,,,,,
3,2,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,CONDO,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.748245239257812,-95.3934326171875&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=INZhgk9lNWbOlBZQc0PDV1a8bQI=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.748245,TRUE,1152,-95.39343,sqft,5852,,,,,,,,,,,,,,TRUE,Sun. 12-3pm,1699830000000,1699819200000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,295000,295000,2148,FALSE,TX,1212 Fairview Ave UNIT A,,293100,77006,2077389913,Unit A,,,,,,,,,,,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a90f3e08aebc45945527b9637b26e7bc-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.835522,TRUE,1966,-95.45249,sqft,9269.568,485000,485000,2600,FALSE,TX,2226 Viking Dr,506882,482400,77018,28016926,,,,,,,,,,,,,
4,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d17cefdf63b959e1a1fd8f519609f428-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.730583,,2007,-95.36021,sqft,1823,429990,429990,998,FALSE,TX,3215 Ennis St #C,61896,,77004,339420641,# C,TRUE,BUILDER_SPEC,,,,,,,,,,
3,4,Kingwood,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c0ef75484ebe56294161683e74ff1e45-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,30.053108,TRUE,3419,-95.147156,acres,0.2554,585000,585000,3494,FALSE,TX,6014 Rapid Creek Ct,510000,582200,77345,28517443,,,,,,,,,,,,,
3,4,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.816944122314453,-95.68462371826172&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=Eb5Is8CuwQI3xJPPY7VzWmKrg9w=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.816944,TRUE,2628,-95.68462,sqft,5749.92,315900,315900,2310,FALSE,TX,3335 Siebinthaler Ln,303630,314700,77084,80590306,,,,,,,,,,,,,
2,2,Houston,USA,USD,0,FOR_SALE,FOR_SALE,TOWNHOUSE,https://photos.zillowstatic.com/fp/560325ada4908fd4b9c3340dcb875cde-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.736307,TRUE,975,-95.49346,acres,1.6408,151000,151000,1400,FALSE,TX,2744 Briarhurst Dr APT 38,130013,149400,77057,28289063,Apt 38,,,,,,,,,,,,
2,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bde1904be06777ed67f6e9541731db5e-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.978355,TRUE,1232,-95.40489,sqft,3454.308,215000,215000,1599,FALSE,TX,1111 Verde Trails Dr,187778,213500,77073,80533085,,,,,,,,,,,,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.661502838134766,-95.36522674560547&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=csd8Ry9iCO9jgDeb4-zn77cNMdo=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.661503,,2156,-95.36523,sqft,3987,359000,359000,2400,FALSE,TX,4211 Larkspur St,237119,356600,77051,339422730,,TRUE,BUILDER_SPEC,,,,,,,,,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1741f1ef8d3b51d93e8790720cbcb194-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.713531,TRUE,1576,-95.66186,sqft,3702.6,229900,229900,1984,FALSE,TX,15830 E Park Ct,239271,228500,77082,28554839,,,,,,,,,,,,,
4,6,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c7e3d86a08b45fb17d6f6dc3458229e3-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.623365,TRUE,2520,-95.381645,sqft,4377.78,325000,325000,2435,FALSE,TX,2630 Skyview Cove Ct,326544,323200,77047,97604358,,,,,,,,,,,,,
3,3,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c745378f06bc632cf1e5666553d54bc0-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.84728,TRUE,1960,-95.44526,sqft,2922.876,,,,,,,,,,,,,,TRUE,Sun. 12-2pm,1699826400000,1699819200000,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,375000,375000,2500,FALSE,TX,2335 Paul Quinn St,242444,273100,77091,337099140,,,,,,,,,,,,,
2,2,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/ecac0c5a243e9d806496c82d44a8daa8-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.754564,TRUE,1513,-95.47898,,,274900,274900,2100,FALSE,TX,1111 Bering Dr UNIT 506,225000,,77057,28428559,Unit 506,,,,,,,,,,,,
3,4,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/fd6095ab88092a76e56b2580ca7090b2-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.725733,TRUE,3520,-95.410904,sqft,6599.34,1100000,1100000,5577,FALSE,TX,2206 Bissonnet St,961170,1096700,77005,27842524,,,,,,,,,,,,,
3,4,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/31f6f41e6240baa1b986db742d7c82f3-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.725822,TRUE,3016,-95.41073,sqft,6721.308,1300000,1300000,5401,FALSE,TX,2202 Bissonnet St,992807,1295800,77005,27842525,,,,,,,,,,,,,
2,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.637447357177734,-95.4254379272461&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=I-NZ2eeEbcl9qP9GATl8VTOnxkA=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.637447,TRUE,,-95.42544,,,80000,80000,1627,FALSE,TX,3218 Brookston St,91948,186800,77045,28319350,,,,,,,,,,,,,
4,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1abe53694899f9b14d5657178064a9bf-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.799644,,2956,-95.48403,sqft,10323.72,760000,760000,5500,FALSE,TX,7818 Janak Dr #A,696699,755000,77055,339423353,# A,TRUE,BUILDER_SPEC,,,,,,,,,,
3,4,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/0e992bba00a84b2dab62933f90130aca-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.964739,,2182,-95.44405,sqft,8929.8,304990,304990,,FALSE,TX,12226 Trickey Rd,,,77067,2054477040,,TRUE,BUILDER_SPEC,,,,,,,,,,
2,3,Houston,USA,USD,-1,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/435cb66e599fa6bd1ad8ce5b1e880cb3-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.964739,,1539,-95.44382,sqft,4573.8,263990,263990,,FALSE,TX,1718 Evening Vista Dr,,,77067,2054477278,,TRUE,BUILDER_SPEC,,,,,,,,,,
2,2,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/d954d767d0cd44d6183a3ab8f1831e03-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.724613,TRUE,1885,-95.38482,,,485000,485000,3948,FALSE,TX,1401 Calumet St UNIT 202,351725,483200,77004,55485165,Unit 202,,,,,,,,,,,,
0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/4086b9dc11027ad0f96df23dbb1ea434-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.68038,TRUE,,-95.44883,sqft,9169.38,255000,255000,1418,FALSE,TX,9415 Greenwillow St,,,77096,2073008900,,,,,,,,,,,,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e5c363cc35485222265747dcf3e5ae3f-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.858248,,1504,-95.428154,sqft,3000,319000,319000,2299,FALSE,TX,6510 Apollo St,45000,,77091,27755638,,TRUE,BUILDER_SPEC,,,,,1699344000000,-990,$990 (Nov 7),,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3c8bc71ed6a5694d587bc2b021353946-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.725456,TRUE,1668,-95.404,sqft,6599.34,1149900,1149900,5620,FALSE,TX,1811 Bissonnet St,765330,1147000,77005,27819815,,,,,,,,,,,,,
0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,https://photos.zillowstatic.com/fp/da825ae76c035ae964076e83bfd60710-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.706245,TRUE,,-95.37298,sqft,5501.628,195000,195000,1187,FALSE,TX,3239 Tampa St,154000,,77021,97625411,,,,,,,,,,,,,
3,3,Houston,USA,USD,0,FOR_SALE,FOR_SALE,SINGLE_FAMILY,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.684465408325195,-95.3742904663086&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=Yq3F9zV9VbMs9ow7uKuL_D_uj6M=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.684465,,1893,-95.37429,sqft,2500,369000,369000,2900,FALSE,TX,3509 Goodhope St #B,,377600,77021,2057005841,# B,TRUE,BUILDER_SPEC,,,,,,,,,,
1,1,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.729965209960938,-95.56981658935547&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=hlVBQU1rkwjPWIqKCbBf1VVMq1k=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.729965,TRUE,897,-95.56982,acres,8.4396,118000,118000,1350,FALSE,TX,3100 Walnut Bend Ln #308,111932,116200,77042,28413586,# 308,,,,,,,1699344000000,-2000,"$2,000 (Nov 7)",,,
0,,Houston,USA,USD,0,FOR_SALE,FOR_SALE,LOT,"https://maps.googleapis.com/maps/api/staticmap?mobile=false&sensor=true&maptype=satellite&size=575x242&zoom=17&center=29.67146110534668,-95.37371826171875&key=AIzaSyBJsNQO5ZeG-XAbqqWLKwG08fWITSxg33w&signature=XAhtP1TjGWkrKhyWzOcyfBaJ06E=",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.671461,TRUE,,-95.37372,sqft,5000.688,99000,99000,1400,FALSE,TX,8310 Woodward St,75000,,77051,97647676,,,,,,,,,,,,,
3,2,Houston,USA,USD,0,FOR_SALE,FOR_SALE,CONDO,https://photos.zillowstatic.com/fp/0a6c0e294226ac7728439ead3f35040b-p_e.jpg,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,29.739471,,2498,-95.420395,,,1695000,1695000,10764,FALSE,TX,2710 Steel St #604,1976732,1700400,77098,337098824,# 604,TRUE,NEW_CONSTRUCTION_TYPE_OTHER,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,20,9666
